# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.700         0         0        190875
     5.100         0         0        190878
     5.100         0         0        190879
     4.800         0         0        190880
     4.600         0         0        190881
     4.700         0         0        190889
     4.800         0         0        190891
     4.600         0         0        190895
     4.600         0         0        190896
     4.600         0         0        190897
     4.700         0         0        190900
     4.900         0         0        190901
     4.700         0         0        190903
     4.700         0         0        190904
     4.800         0         0        190905
     4.600         0         0        190907
     4.600         0         0        190908
     4.500         0         0        190909
     4.500         0         0        190912
     5.700         0         0        190913
     4.500         0         0        190914
     4.700         0         0        190916
     4.600         0         0        190917
     4.600         0         0        190919
     4.700         0         0        190920
     4.900         0         0        190931
     4.500         0         0        190933
     4.700         0         0        190940
     4.800         0         0        190941
     4.600         0         0        190942
     4.800         0         0        190943
     4.600         0         0        190947
     5.000         0         0        190949
     4.500         0         0        190952
     4.500         0         0        190956
     4.500         0         0        190957
     4.600         0         0        190958
     4.700         0         0        190959
     4.600         0         0        190960
     5.600         0         0        190961
     4.600         0         0        190964
     4.600         0         0        190965
     4.900         0         0        190967
     5.200         0         0        190969
     4.600         0         0        190972
     4.800         0         0        190976
     4.600         0         0        190977
     4.600         0         0        190980
     5.100         0         0        190982
     4.900         0         0        190983
     4.900         0         0        190984
     4.500         0         0        190985
     4.800         0         0        190988
     4.600         0         0        190989
     4.600         0         0        190992
     4.500         0         0        190997
     4.600         0         0        191002
     4.500         0         0        191006
     4.800         0         0        191008
     4.900         0         0        191009
     4.600         0         0        191010
     4.500         0         0        191011
     5.200         0         0        191012
     4.600         0         0        191019
     4.800         0         0        191021
     4.500         0         0        191026
     4.600         0         0        191029
     4.800         0         0        191031
     4.600         0         0        191032
     4.700         0         0        191033
     4.900         0         0        191036
     4.900         0         0        191040
     4.600         0         0        191041
     4.600         0         0        191042
     5.100         0         0        191045
     4.800         0         0        191046
     4.800         0         0        191047
     4.800         0         0        191048
     4.500         0         0        191051
     4.500         0         0        191053
     4.900         0         0        191055
     4.500         0         0        191056
     5.000         0         0        191058
     4.800         0         0        191059
     4.800         0         0        191061
     4.600         0         0        191062
     4.500         0         0        191067
     4.600         0         0        191071
     4.700         0         0        191072
     5.000         0         0        191075
     4.800         0         0        191077
     4.600         0         0        191079
     5.100         0         0        191083
     4.800         0         0        191089
     4.700         0         0        191092
     4.600         0         0        191095
     4.500         0         0        191102
     4.600         0         0        191105
     4.500         0         0        191114
     4.700         0         0        191119
     4.500         0         0        191120
     4.600         0         0        191122
     4.500         0         0        191123
     4.500         0         0        191124
     4.900         0         0        191127
     4.500         0         0        191139
     4.900         0         0        191142
     4.700         0         0        191143
     4.600         0         0        191146
     4.500         0         0        191147
     4.500         0         0        191148
     4.500         0         0        191149
     4.700         0         0        191150
     4.700         0         0        191151
     4.600         0         0        191154
     4.900         0         0        191157
     4.600         0         0        191164
     4.500         0         0        191165
     4.900         0         0        191166
     4.800         0         0        191167
     4.600         0         0        191169
     4.800         0         0        191172
     5.100         0         0        191178
     5.000         0         0        191181
     4.500         0         0        191182
     4.500         0         0        191186
     4.800         0         0        191187
     4.800         0         0        191188
     4.600         0         0        191190
     4.500         0         0        191191
     4.800         0         0        191192
     4.500         0         0        191193
     4.800         0         0        191195
     4.500         0         0        191197
     4.700         0         0        191198
     4.600         0         0        191199
     4.500         0         0        191200
     4.700         0         0        191206
     4.800         0         0        191207
     4.900         0         0        191210
     4.600         0         0        191211
     5.100         0         0        191214
     4.500         0         0        191217
     4.800         0         0        191218
     4.600         0         0        191219
     4.700         0         0        191222
     5.000         0         0        191223
     5.800         0         0        191224
     4.600         0         0        191225
     4.800         0         0        191226
     4.700         0         0        191227
     4.700         0         0        191230
     4.700         0         0        191231
     4.700         0         0        191234
     4.800         0         0        191236
     4.700         0         0        191237
     4.900         0         0        191238
     4.700         0         0        191240
     4.500         0         0        191242
     4.500         0         0        191243
     4.900         0         0        191252
     4.600         0         0        191253
     4.800         0         0        191256
     4.800         0         0        191260
     4.700         0         0        191262
     4.600         0         0        191264
     4.600         0         0        191266
     4.800         0         0        191267
     4.700         0         0        191268
     4.900         0         0        191271
     6.200         0         0        191276
     4.500         0         0        191280
     4.600         0         0        191286
     4.700         0         0        191287
     4.600         0         0        191288
     4.600         0         0        191289
     4.500         0         0        191290
     4.500         0         0        191291
     4.700         0         0        191292
     4.500         0         0        191294
     4.500         0         0        191295
     4.800         0         0        191302
     4.600         0         0        191305
     4.600         0         0        191306
     4.600         0         0        191307
     4.500         0         0        191310
     4.800         0         0        191315
     4.700         0         0        191316
     4.700         0         0        191321
     4.700         0         0        191324
     4.600         0         0        191328
     4.700         0         0        191329
     4.900         0         0        191330
     4.500         0         0        191331
     4.500         0         0        191332
     4.700         0         0        191334
     4.600         0         0        191335
     4.500         0         0        191336
     4.700         0         0        191339
     5.000         0         0        191340
     4.500         0         0        191342
     5.000         0         0        191343
     4.600         0         0        191346
     4.900         0         0        191349
     4.800         0         0        191352
     4.500         0         0        191355
     4.700         0         0        191356
     5.300         0         0        191358
     4.700         0         0        191359
     4.800         0         0        191362
     4.800         0         0        191369
     4.900         0         0        191378
     4.500         0         0        191379
     4.600         0         0        191381
     4.500         0         0        191384
     4.500         0         0        191386
     4.700         0         0        191387
     4.600         0         0        191390
     4.500         0         0        191391
     4.500         0         0        191394
     4.500         0         0        191395
     4.500         0         0        191396
     4.600         0         0        191398
     4.500         0         0        191399
     4.900         0         0        191401
     4.700         0         0        191404
